target,model,cv,f1_macro,accuracy,n_classes,leakage_removed
anxiety_level,LogisticReg,LOOCV,0.2611,0.4167,3,True
anxiety_level,LogisticReg,LOGOCV,0.1692,0.25,3,True
anxiety_level,RandomForest,LOOCV,0.1692,0.25,3,True
anxiety_level,RandomForest,LOGOCV,0.1692,0.25,3,True
anxiety_level,XGBoost,LOOCV,0.1692,0.25,3,True
anxiety_level,XGBoost,LOGOCV,0.2169,0.3333,3,True
anxiety_level,SVM,LOOCV,0.1667,0.3333,3,True
anxiety_level,SVM,LOGOCV,0.1692,0.25,3,True
anxiety_level,LogReg_L1_MI8,LOOCV,0.2083,0.4167,3,True
anxiety_level,LogReg_L1_MI8,LOGOCV,0.1162,0.1667,3,True
anxiety_level,LightGBM,LOOCV,0.2611,0.4167,3,True
anxiety_level,LightGBM,LOGOCV,0.2169,0.3333,3,True
rearing_profile,LogisticReg,LOOCV,0.2778,0.4167,3,True
rearing_profile,LogisticReg,LOGOCV,0.2407,0.3333,3,True
rearing_profile,RandomForest,LOOCV,0.3165,0.4167,3,True
rearing_profile,RandomForest,LOGOCV,0.3152,0.4167,3,True
rearing_profile,XGBoost,LOOCV,0.2667,0.3333,3,True
rearing_profile,XGBoost,LOGOCV,0.2444,0.25,3,True
rearing_profile,SVM,LOOCV,0.2051,0.3333,3,True
rearing_profile,SVM,LOGOCV,0.1879,0.25,3,True
rearing_profile,LogReg_L1_MI8,LOOCV,0.1961,0.4167,3,True
rearing_profile,LogReg_L1_MI8,LOGOCV,0.1026,0.1667,3,True
rearing_profile,LightGBM,LOOCV,0.4226,0.4167,3,True
rearing_profile,LightGBM,LOGOCV,0.3481,0.3333,3,True
grooming_profile,LogisticReg,LOOCV,0.1961,0.4167,3,True
grooming_profile,LogisticReg,LOGOCV,0.2222,0.5,3,True
grooming_profile,RandomForest,LOOCV,0.1778,0.3333,3,True
grooming_profile,RandomForest,LOGOCV,0.1905,0.3333,3,True
grooming_profile,XGBoost,LOOCV,0.3333,0.4167,3,True
grooming_profile,XGBoost,LOGOCV,0.2051,0.3333,3,True
grooming_profile,SVM,LOOCV,0.1667,0.3333,3,True
grooming_profile,SVM,LOGOCV,0.2083,0.4167,3,True
grooming_profile,LogReg_L1_MI8,LOOCV,0.1961,0.4167,3,True
grooming_profile,LogReg_L1_MI8,LOGOCV,0.0741,0.0833,3,True
grooming_profile,LightGBM,LOOCV,0.1538,0.25,3,True
grooming_profile,LightGBM,LOGOCV,0.3175,0.4167,3,True
